Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
544636,1,557269,10844499,1,3,4,-23.8755,-111.541,2.40053,-161.288
464579,1,579305,10899026,1,0,0,33.7833,-45.4927,39.8886,-41.778
557269,1,544636,11156529,1,4,3,2.40053,-161.288,-23.8755,-111.541
464579,1,537816,11928506,1,0,3,33.7833,-45.4927,-25.1781,-110.144
544636,1,579305,12131001,1,3,0,-23.8755,-111.541,39.8886,-41.778
588172,1,569329,12196958,1,4,0,3.00486,-159.23,28.7426,-41.4508
536906,1,655963,12538827,1,5,0,22.429,154.859,29.4162,-45.8675
628320,1,584457,12672587,1,4,3,0.224078,-163.624,-24.475,-111.147
588172,1,482012,13309424,1,4,3,3.00486,-159.23,-24.5756,-110.945
464579,1,558089,13764174,1,0,3,33.7833,-45.4927,-24.0376,-110.73
585606,1,544636,14637506,1,3,3,-25.2324,-110.18,-23.8755,-111.541
636721,1,580798,15145416,1,1,2,-29.6764,-11.6307,-21.1545,88.0749
464579,1,578749,15433302,1,0,1,33.7833,-45.4927,-35.6034,-11.7988
536906,1,601496,16050163,1,5,3,22.429,154.859,-24.9297,-111.014
579305,1,601496,16449641,1,0,3,39.8886,-41.778,-24.9297,-111.014
557269,1,655963,16775149,1,4,0,2.40053,-161.288,29.4162,-45.8675
464579,1,571670,17895063,1,0,4,33.7833,-45.4927,5.33031,-168.957
655963,1,579305,18096375,1,0,0,29.4162,-45.8675,39.8886,-41.778
584457,1,579305,18451117,1,3,0,-24.475,-111.147,39.8886,-41.778
655963,1,601496,18505443,1,0,3,29.4162,-45.8675,-24.9297,-111.014
536906,1,639642,18780504,1,5,5,22.429,154.859,21.5434,154.279
579305,1,639642,19337771,1,0,5,39.8886,-41.778,21.5434,154.279
655963,1,655963,20926012,1,0,0,29.4162,-45.8675,29.4162,-45.8675
492850,1,569329,21377528,1,3,0,-24.9904,-111.346,28.7426,-41.4508
464579,1,500336,21428024,1,0,5,33.7833,-45.4927,20.7839,156.256
536906,1,566580,22206280,1,5,3,22.429,154.859,-24.0661,-111.936
482012,1,492850,22474096,1,3,3,-24.5756,-110.945,-24.9904,-111.346
544636,1,579305,22922666,1,3,0,-23.8755,-111.541,39.8886,-41.778
536906,1,477374,24135034,1,5,5,22.429,154.859,20.1005,154.004
483005,1,579305,24206542,1,5,0,19.1386,155.099,39.8886,-41.778
483005,1,579305,24255941,1,5,0,19.1386,155.099,39.8886,-41.778
588172,1,464579,24926025,1,4,0,3.00486,-159.23,33.7833,-45.4927
636721,1,536906,25235524,1,1,5,-29.6764,-11.6307,22.429,154.859
492850,1,588172,25926522,1,3,4,-24.9904,-111.346,3.00486,-159.23
492850,1,588172,25945503,1,3,4,-24.9904,-111.346,3.00486,-159.23
464579,1,611238,26271897,1,0,1,33.7833,-45.4927,-27.0582,-10.3526
557269,1,639642,26912434,1,4,5,2.40053,-161.288,21.5434,154.279
536906,1,544636,26977263,1,5,3,22.429,154.859,-23.8755,-111.541
464579,1,521673,27271090,1,0,0,33.7833,-45.4927,39.4571,-48.424
464579,1,516393,27475931,1,0,3,33.7833,-45.4927,-24.3748,-111.257
536906,1,557269,29212368,1,5,4,22.429,154.859,2.40053,-161.288
584457,1,585606,29318786,1,3,3,-24.475,-111.147,-25.2324,-110.18
492850,1,580798,29917227,1,3,2,-24.9904,-111.346,-21.1545,88.0749
639642,1,557269,30082351,1,5,4,21.5434,154.279,2.40053,-161.288
464579,1,645371,30250956,1,0,4,33.7833,-45.4927,-3.35086,-162.18
655963,1,579305,30703951,1,0,0,29.4162,-45.8675,39.8886,-41.778
579305,1,655963,31126132,1,0,0,39.8886,-41.778,29.4162,-45.8675
569329,3,492850,28339200,1,0,5,33,-41,22,156
644830,2,585212,13302589,958,,,,,,
644830,2,585212,14314933,213,,,,,,
644830,2,585212,15936004,276,,,,,,
644830,2,585212,16227037,245,,,,,,
644830,2,585212,17764060,213,,,,,,
644830,2,585212,18425192,581,,,,,,
644830,2,585212,20170502,209,,,,,,
