Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,End_time,TargetLocation
599956,0,550361,10558740,1,,,,,,,,
550361,0,490041,10576646,1,,,,,,,,
623295,0,490041,10593205,1,,,,,,,,
623295,0,599956,10604700,1,,,,,,,,
490041,0,599956,10644256,1,,,,,,,,
568093,0,591682,11438695,1,,,,,,,,
533140,0,616050,11450444,1,,,,,,,,
533140,0,591682,11481454,1,,,,,,,,
512397,0,550287,12670289,1,,,,,,,,
512397,0,550287,14384733,1,,,,,,,,
512397,0,550287,15835592,1,,,,,,,,
512397,0,550287,18060533,1,,,,,,,,
623295,0,492777,20018733,1,,,,,,,,
635665,0,492777,20183932,1,,,,,,,,
512397,0,550287,20234879,1,,,,,,,,
635665,0,623295,20366682,1,,,,,,,,
623295,0,492777,20483073,1,,,,,,,,
635665,0,492777,20613879,1,,,,,,,,
635665,0,492777,20732418,1,,,,,,,,
635665,0,623295,20852050,1,,,,,,,,
492777,0,550361,20854058,1,,,,,,,,
596193,0,623295,20921454,1,,,,,,,,
492777,0,635665,20922688,1,,,,,,,,
492777,0,596193,21050086,1,,,,,,,,
623295,0,492777,21056607,1,,,,,,,,
492777,0,550361,21081687,1,,,,,,,,
596193,0,493044,21085655,1,,,,,,,,
596193,0,550361,21088442,1,,,,,,,,
635665,0,492777,21113875,1,,,,,,,,
550361,0,623295,21122153,1,,,,,,,,
596193,0,623295,21183011,1,,,,,,,,
635665,0,492777,21286766,1,,,,,,,,
596193,0,635665,21288232,1,,,,,,,,
492777,0,596193,21539087,1,,,,,,,,
492777,0,623295,21560515,1,,,,,,,,
550361,0,635665,21593417,1,,,,,,,,
596193,0,493044,21696581,1,,,,,,,,
623295,0,635665,21758270,1,,,,,,,,
596193,0,492777,21780678,1,,,,,,,,
635665,0,492777,21821195,1,,,,,,,,
635665,0,623295,22012691,1,,,,,,,,
635665,0,492777,22063595,1,,,,,,,,
492777,0,493044,22129997,1,,,,,,,,
596193,0,550361,22254898,1,,,,,,,,
550361,0,596193,22308110,1,,,,,,,,
492777,0,623295,22352087,1,,,,,,,,
492777,0,493044,22371021,1,,,,,,,,
596193,0,550361,22389005,1,,,,,,,,
492777,0,635665,22416097,1,,,,,,,,
596193,0,635665,22416771,1,,,,,,,,
492777,0,623295,22435117,1,,,,,,,,
550361,0,635665,22528909,1,,,,,,,,
492777,0,550361,22555734,1,,,,,,,,
635665,0,492777,22563050,1,,,,,,,,
596193,0,635665,22636021,1,,,,,,,,
492777,0,493044,22784884,1,,,,,,,,
596193,0,623295,22787809,1,,,,,,,,
492777,0,635665,22990665,1,,,,,,,,
492777,0,623295,22991986,1,,,,,,,,
492777,0,596193,22996941,1,,,,,,,,
492777,0,635665,23024759,1,,,,,,,,
492777,0,493044,23145652,1,,,,,,,,
596193,0,623295,23173103,1,,,,,,,,
490041,0,635665,24003753,1,,,,,,,,
490041,0,589639,24011786,1,,,,,,,,
635665,0,599956,24012811,1,,,,,,,,
635665,0,599956,24013644,1,,,,,,,,
635665,0,599956,24023510,1,,,,,,,,
635665,0,589639,24028546,1,,,,,,,,
490041,0,589639,24030596,1,,,,,,,,
635665,0,599956,24032432,1,,,,,,,,
635665,0,589639,24035137,1,,,,,,,,
490041,0,589639,24043702,1,,,,,,,,
490041,0,635665,24051853,1,,,,,,,,
570411,0,640464,24185807,1,,,,,,,,
570411,0,640464,24293825,1,,,,,,,,
570411,0,640464,24324913,1,,,,,,,,
570411,0,635665,24470579,1,,,,,,,,
570411,0,635665,25084575,1,,,,,,,,
490041,1,589639,1417381,1,0,0,34.5741,-42.0541,30.4483,-42.5341,,
599956,1,635665,1423376,1,0,0,34.2958,-39.026,29.3296,-37.8076,,
599956,1,589639,1465986,1,0,0,34.2958,-39.026,30.4483,-42.5341,,
490041,1,635665,1523000,1,0,0,34.5741,-42.0541,29.3296,-37.8076,,
599956,1,589639,1536819,1,0,0,34.2958,-39.026,30.4483,-42.5341,,
599956,1,589639,1540919,1,0,0,34.2958,-39.026,30.4483,-42.5341,,
490041,1,589639,1568399,1,0,0,34.5741,-42.0541,30.4483,-42.5341,,
490041,1,589639,1694726,1,0,0,34.5741,-42.0541,30.4483,-42.5341,,
490041,1,589639,1734364,1,0,0,34.5741,-42.0541,30.4483,-42.5341,,
490041,1,635665,1743198,1,0,0,34.5741,-42.0541,29.3296,-37.8076,,
490041,1,599956,1768587,1,0,0,34.5741,-42.0541,34.2958,-39.026,,
599956,1,490041,1789643,1,0,0,34.2958,-39.026,34.5741,-42.0541,,
599956,1,490041,1821622,1,0,0,34.2958,-39.026,34.5741,-42.0541,,
599956,1,589639,1832626,1,0,0,34.2958,-39.026,30.4483,-42.5341,,
490041,1,635665,1844976,1,0,0,34.5741,-42.0541,29.3296,-37.8076,,
490041,1,589639,1870295,1,0,0,34.5741,-42.0541,30.4483,-42.5341,,
632150,1,635665,2806344,1,2,0,-27.2563,91.7676,29.3296,-37.8076,,
635665,1,568093,3314951,1,0,0,29.3296,-37.8076,28.3004,-47.4036,,
616050,1,632150,3487438,1,2,2,-20.9062,92.3982,-27.2563,91.7676,,
632150,1,568093,3796266,1,2,0,-27.2563,91.7676,28.3004,-47.4036,,
632150,1,635665,5599120,1,2,0,-27.2563,91.7676,29.3296,-37.8076,,
533140,1,591682,6064987,1,2,2,-21.8004,89.7045,-22.6503,92.6106,,
635665,1,533140,6713226,1,0,2,29.3296,-37.8076,-21.8004,89.7045,,
616050,1,533140,6731066,1,2,2,-20.9062,92.3982,-21.8004,89.7045,,
533140,1,616050,6977386,1,2,2,-21.8004,89.7045,-20.9062,92.3982,,
632150,1,464459,7485417,1,2,0,-27.2563,91.7676,25.0754,-40.6293,,
616050,1,533140,7527116,1,2,2,-20.9062,92.3982,-21.8004,89.7045,,
635665,1,533140,8239192,1,0,2,29.3296,-37.8076,-21.8004,89.7045,,
599956,1,492777,8304372,1,0,3,34.2958,-39.026,-24.5657,-110.65,,
599956,1,492777,8709595,1,0,3,34.2958,-39.026,-24.5657,-110.65,,
599956,1,492777,8718680,1,0,3,34.2958,-39.026,-24.5657,-110.65,,
599956,1,493044,8761720,1,0,2,34.2958,-39.026,-20.8686,89.4217,,
599956,1,635665,8847370,1,0,0,34.2958,-39.026,29.3296,-37.8076,,
599956,1,490041,8938744,1,0,0,34.2958,-39.026,34.5741,-42.0541,,
599956,1,493044,8985798,1,0,2,34.2958,-39.026,-20.8686,89.4217,,
599956,1,589639,8997941,1,0,0,34.2958,-39.026,30.4483,-42.5341,,
490041,1,550361,9100993,1,0,2,34.5741,-42.0541,-18.3758,91.025,,
599956,1,570411,9102661,1,0,0,34.2958,-39.026,32.6654,-48.6701,,
616050,1,464459,9118391,1,2,0,-20.9062,92.3982,25.0754,-40.6293,,
490041,1,623295,9269917,1,0,3,34.5741,-42.0541,-25.4639,-111.249,,
599956,1,596193,9312133,1,0,2,34.2958,-39.026,-17.1099,90.7971,,
599956,1,589639,9523757,1,0,0,34.2958,-39.026,30.4483,-42.5341,,
635665,1,616050,9566701,1,0,2,29.3296,-37.8076,-20.9062,92.3982,,
599956,1,589639,9631198,1,0,0,34.2958,-39.026,30.4483,-42.5341,,
632150,1,533140,9824045,1,2,2,-27.2563,91.7676,-21.8004,89.7045,,
599956,1,635665,9880536,1,0,0,34.2958,-39.026,29.3296,-37.8076,,
616050,1,635665,9885133,1,2,0,-20.9062,92.3982,29.3296,-37.8076,,
464459,1,632150,9913520,1,0,2,25.0754,-40.6293,-27.2563,91.7676,,
490041,1,640464,9947058,1,0,0,34.5741,-42.0541,35.8806,-34.5372,,
599956,1,623295,9994548,1,0,3,34.2958,-39.026,-25.4639,-111.249,,
599956,1,490041,10008400,1,0,0,34.2958,-39.026,34.5741,-42.0541,,
635665,1,632150,10206980,1,0,2,29.3296,-37.8076,-27.2563,91.7676,,
632150,1,464459,10415195,1,2,0,-27.2563,91.7676,25.0754,-40.6293,,
632150,1,591682,10427425,1,2,2,-27.2563,91.7676,-22.6503,92.6106,,
599956,1,550361,10446305,1,0,2,34.2958,-39.026,-18.3758,91.025,,
616050,1,533140,10498974,1,2,2,-20.9062,92.3982,-21.8004,89.7045,,
599956,1,589639,10537005,1,0,0,34.2958,-39.026,30.4483,-42.5341,,
599956,1,492777,10596463,1,0,3,34.2958,-39.026,-24.5657,-110.65,,
616050,1,533140,10924087,1,2,2,-20.9062,92.3982,-21.8004,89.7045,,
632150,1,533140,11000457,1,2,2,-27.2563,91.7676,-21.8004,89.7045,,
632150,1,464459,11103646,1,2,0,-27.2563,91.7676,25.0754,-40.6293,,
623295,1,635665,19868924,1,3,0,-25.4639,-111.249,29.3296,-37.8076,,
623295,1,635665,20146856,1,3,0,-25.4639,-111.249,29.3296,-37.8076,,
623295,1,492777,20485040,1,3,3,-25.4639,-111.249,-24.5657,-110.65,,
492777,1,550361,20822639,1,3,2,-24.5657,-110.65,-18.3758,91.025,,
492777,1,623295,20830992,1,3,3,-24.5657,-110.65,-25.4639,-111.249,,
492777,1,596193,20867167,1,3,2,-24.5657,-110.65,-17.1099,90.7971,,
550361,1,596193,20873117,1,2,2,-18.3758,91.025,-17.1099,90.7971,,
635665,1,493044,20882094,1,0,2,29.3296,-37.8076,-20.8686,89.4217,,
635665,1,493044,20887397,1,0,2,29.3296,-37.8076,-20.8686,89.4217,,
492777,1,493044,20909333,1,3,2,-24.5657,-110.65,-20.8686,89.4217,,
492777,1,623295,20926366,1,3,3,-24.5657,-110.65,-25.4639,-111.249,,
550361,1,623295,20940987,1,2,3,-18.3758,91.025,-25.4639,-111.249,,
623295,1,635665,20947689,1,3,0,-25.4639,-111.249,29.3296,-37.8076,,
492777,1,635665,21090250,1,3,0,-24.5657,-110.65,29.3296,-37.8076,,
550361,1,493044,21090682,1,2,2,-18.3758,91.025,-20.8686,89.4217,,
623295,1,493044,21126949,1,3,2,-25.4639,-111.249,-20.8686,89.4217,,
623295,1,492777,21272058,1,3,3,-25.4639,-111.249,-24.5657,-110.65,,
635665,1,596193,21299339,1,0,2,29.3296,-37.8076,-17.1099,90.7971,,
492777,1,623295,21365640,1,3,3,-24.5657,-110.65,-25.4639,-111.249,,
492777,1,635665,21392909,1,3,0,-24.5657,-110.65,29.3296,-37.8076,,
623295,1,635665,21444482,1,3,0,-25.4639,-111.249,29.3296,-37.8076,,
635665,1,550361,21445593,1,0,2,29.3296,-37.8076,-18.3758,91.025,,
623295,1,635665,21520284,1,3,0,-25.4639,-111.249,29.3296,-37.8076,,
623295,1,550361,21636072,1,3,2,-25.4639,-111.249,-18.3758,91.025,,
550361,1,493044,21701200,1,2,2,-18.3758,91.025,-20.8686,89.4217,,
623295,1,492777,21808987,1,3,3,-25.4639,-111.249,-24.5657,-110.65,,
623295,1,635665,21835883,1,3,0,-25.4639,-111.249,29.3296,-37.8076,,
635665,1,492777,21851592,1,0,3,29.3296,-37.8076,-24.5657,-110.65,,
492777,1,623295,21975781,1,3,3,-24.5657,-110.65,-25.4639,-111.249,,
635665,1,623295,22144205,1,0,3,29.3296,-37.8076,-25.4639,-111.249,,
492777,1,623295,22169055,1,3,3,-24.5657,-110.65,-25.4639,-111.249,,
635665,1,492777,22373265,1,0,3,29.3296,-37.8076,-24.5657,-110.65,,
492777,1,635665,22446486,1,3,0,-24.5657,-110.65,29.3296,-37.8076,,
492777,1,623295,22452022,1,3,3,-24.5657,-110.65,-25.4639,-111.249,,
623295,1,635665,22455314,1,3,0,-25.4639,-111.249,29.3296,-37.8076,,
492777,1,493044,22584294,1,3,2,-24.5657,-110.65,-20.8686,89.4217,,
550361,1,493044,22612462,1,2,2,-18.3758,91.025,-20.8686,89.4217,,
635665,1,596193,22728254,1,0,2,29.3296,-37.8076,-17.1099,90.7971,,
492777,1,635665,22755659,1,3,0,-24.5657,-110.65,29.3296,-37.8076,,
635665,1,493044,22783893,1,0,2,29.3296,-37.8076,-20.8686,89.4217,,
492777,1,493044,22855338,1,3,2,-24.5657,-110.65,-20.8686,89.4217,,
635665,1,550361,23043220,1,0,2,29.3296,-37.8076,-18.3758,91.025,,
635665,1,493044,23047530,1,0,2,29.3296,-37.8076,-20.8686,89.4217,,
492777,1,635665,23129203,1,3,0,-24.5657,-110.65,29.3296,-37.8076,,
492777,1,635665,23130930,1,3,0,-24.5657,-110.65,29.3296,-37.8076,,
635665,1,596193,23132563,1,0,2,29.3296,-37.8076,-17.1099,90.7971,,
589639,1,635665,23996653,1,0,0,30.4483,-42.5341,29.3296,-37.8076,,
599956,1,490041,23997357,1,0,0,34.2958,-39.026,34.5741,-42.0541,,
589639,1,490041,24010946,1,0,0,30.4483,-42.5341,34.5741,-42.0541,,
599956,1,490041,24015494,1,0,0,34.2958,-39.026,34.5741,-42.0541,,
599956,1,490041,24021301,1,0,0,34.2958,-39.026,34.5741,-42.0541,,
589639,1,599956,24023186,1,0,0,30.4483,-42.5341,34.2958,-39.026,,
599956,1,589639,24040547,1,0,0,34.2958,-39.026,30.4483,-42.5341,,
599956,1,490041,24050350,1,0,0,34.2958,-39.026,34.5741,-42.0541,,
599956,1,490041,24068779,1,0,0,34.2958,-39.026,34.5741,-42.0541,,
635665,1,570411,24123324,1,0,0,29.3296,-37.8076,32.6654,-48.6701,,
640464,1,635665,24461997,1,0,0,35.8806,-34.5372,29.3296,-37.8076,,
635665,1,640464,24503371,1,0,0,29.3296,-37.8076,35.8806,-34.5372,,
635665,1,640464,24583501,1,0,0,29.3296,-37.8076,35.8806,-34.5372,,
640464,1,570411,24659635,1,0,0,35.8806,-34.5372,32.6654,-48.6701,,
640464,1,570411,24685141,1,0,0,35.8806,-34.5372,32.6654,-48.6701,,
635665,1,640464,24703970,1,0,0,29.3296,-37.8076,35.8806,-34.5372,,
640464,1,635665,24726314,1,0,0,35.8806,-34.5372,29.3296,-37.8076,,
640464,1,570411,24787278,1,0,0,35.8806,-34.5372,32.6654,-48.6701,,
640464,1,635665,24880980,1,0,0,35.8806,-34.5372,29.3296,-37.8076,,
640464,1,570411,24900262,1,0,0,35.8806,-34.5372,32.6654,-48.6701,,
635665,1,570411,24914745,1,0,0,29.3296,-37.8076,32.6654,-48.6701,,
640464,1,635665,25023225,1,0,0,35.8806,-34.5372,29.3296,-37.8076,,
640464,1,570411,25114159,1,0,0,35.8806,-34.5372,32.6654,-48.6701,,
635665,1,570411,25132002,1,0,0,29.3296,-37.8076,32.6654,-48.6701,,
534034,3,629627,16141147,4,4,3,1,-165,-25,-111,18565243,625756
599441,3,629627,16486747,4,4,3,1,-165,-25,-111,18910843,625756
585212,3,629627,16832347,5,4,3,1,-165,-25,-111,19862467,625756
599441,3,629627,15277147,5,3,1,-25,-111,-29,-13,18307267,657173
534034,3,629627,15536347,3,3,1,-25,-111,-29,-13,17354419,657173
585212,3,629627,16486747,5,3,1,-25,-111,-29,-13,19516867,657173
585212,3,599441,18214747,3,2,4,-22,91,1,-165,20032819,509607
538892,3,599441,20115547,1,2,4,-22,91,1,-165,20721571,509607
542965,3,599441,20547547,5,2,4,-22,91,1,-165,23577667,509607
629627,3,534034,18646747,2,1,2,-29,-13,-22,91,19858795,499467
585212,3,534034,18733147,5,1,2,-29,-13,-22,91,21763267,499467
599441,3,534034,18819547,2,1,2,-29,-13,-22,91,20031595,499467
635665,3,534034,21411547,1,3,2,-25,-111,-22,91,22017571,499467
568093,3,464459,21152347,2,0,3,33,-41,-25,-111,22364395,625756
635665,3,464459,21843547,1,0,3,33,-41,-25,-111,22449571,625756
568093,3,464459,22621147,2,3,2,-25,-111,-22,91,23833195,499467
635665,3,568093,24608347,1,2,0,-22,91,33,-41,25214371,561157
464459,3,568093,24953947,1,2,0,-22,91,33,-41,25559971,561157
570284,3,649553,26681947,1,5,4,22,156,1,-165,27287971,509607
643925,3,649553,27977947,5,5,4,22,156,1,-165,31008067,509607
649553,3,643925,27718747,3,4,3,1,-165,-25,-111,29536819,625756
649553,3,570284,29533147,5,0,5,33,-41,22,156,32563267,616453
643925,3,570284,30137947,3,0,5,33,-41,22,156,31956019,616453
570284,3,643925,30224347,2,3,0,-25,-111,33,-41,31436395,561157
649553,3,643925,30224347,2,3,0,-25,-111,33,-41,31436395,561157
550287,2,512397,10250285,170,,,,,,,,
550287,2,512397,12459732,314,,,,,,,,
550287,2,512397,14490022,445,,,,,,,,
550287,2,512397,16267662,792,,,,,,,,
550287,2,512397,16758558,331,,,,,,,,
550287,2,512397,17614335,430,,,,,,,,
550287,2,512397,17671007,122,,,,,,,,
