Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
500813,1,614761,3117621,1,1,1,-29.1714,-10.493,-27.7842,-8.74823
614761,1,500813,3346166,1,1,1,-27.7842,-8.74823,-29.1714,-10.493
538892,1,500813,3695899,1,2,1,-23.5953,91.3571,-29.1714,-10.493
614761,1,572391,3942418,1,1,2,-27.7842,-8.74823,-21.1411,91.1427
500813,1,572391,4270415,1,1,2,-29.1714,-10.493,-21.1411,91.1427
614761,1,538892,5568861,1,1,2,-27.7842,-8.74823,-23.5953,91.3571
538892,1,572391,7238975,1,2,2,-23.5953,91.3571,-21.1411,91.1427
614761,1,500813,7532107,1,1,1,-27.7842,-8.74823,-29.1714,-10.493
538892,1,572391,8055403,1,2,2,-23.5953,91.3571,-21.1411,91.1427
538892,1,500813,8277723,1,2,1,-23.5953,91.3571,-29.1714,-10.493
538892,1,542965,8521304,1,2,2,-23.5953,91.3571,-21.896,89.4
541619,1,607386,8912739,1,4,0,5.91178,-161.276,33.5741,-40.3904
614761,1,572391,9032836,1,1,2,-27.7842,-8.74823,-21.1411,91.1427
493652,1,607386,9064253,1,5,0,24.9831,155.446,33.5741,-40.3904
493652,1,538892,9115787,1,5,2,24.9831,155.446,-23.5953,91.3571
538892,1,542965,9173851,1,2,2,-23.5953,91.3571,-21.896,89.4
541619,1,607386,9268385,1,4,0,5.91178,-161.276,33.5741,-40.3904
538892,1,607386,9366388,1,2,0,-23.5953,91.3571,33.5741,-40.3904
500813,1,542965,9621064,1,1,2,-29.1714,-10.493,-21.896,89.4
541619,1,607386,9637884,1,4,0,5.91178,-161.276,33.5741,-40.3904
538892,1,544074,9640210,1,2,4,-23.5953,91.3571,2.35166,-161.322
500813,1,542965,9662291,1,1,2,-29.1714,-10.493,-21.896,89.4
493652,1,516236,9732498,1,5,0,24.9831,155.446,32.1192,-47.3531
541619,1,544074,9857200,1,4,4,5.91178,-161.276,2.35166,-161.322
614761,1,542965,10045065,1,1,2,-27.7842,-8.74823,-21.896,89.4
538892,1,493652,10142894,1,2,5,-23.5953,91.3571,24.9831,155.446
516236,1,538892,10245839,1,0,2,32.1192,-47.3531,-23.5953,91.3571
493652,1,544074,10284633,1,5,4,24.9831,155.446,2.35166,-161.322
493652,1,541619,10335267,1,5,4,24.9831,155.446,5.91178,-161.276
493652,1,516236,10607688,1,5,0,24.9831,155.446,32.1192,-47.3531
614761,1,572391,10706025,1,1,2,-27.7842,-8.74823,-21.1411,91.1427
614761,1,572391,10985332,1,1,2,-27.7842,-8.74823,-21.1411,91.1427
516236,1,538892,11075131,1,0,2,32.1192,-47.3531,-23.5953,91.3571
544074,1,538892,17121072,1,4,2,2.35166,-161.322,-23.5953,91.3571
544074,1,541619,17149567,1,4,4,2.35166,-161.322,5.91178,-161.276
544074,1,541619,17429185,1,4,4,2.35166,-161.322,5.91178,-161.276
544074,1,538892,17601232,1,4,2,2.35166,-161.322,-23.5953,91.3571
544074,1,541619,17785145,1,4,4,2.35166,-161.322,5.91178,-161.276
544074,1,541619,18186660,1,4,4,2.35166,-161.322,5.91178,-161.276
544074,1,538892,18711916,1,4,2,2.35166,-161.322,-23.5953,91.3571
544074,1,541619,18869662,1,4,4,2.35166,-161.322,5.91178,-161.276
544074,1,541619,19058010,1,4,4,2.35166,-161.322,5.91178,-161.276
544074,1,538892,19177189,1,4,2,2.35166,-161.322,-23.5953,91.3571
544074,1,538892,19256891,1,4,2,2.35166,-161.322,-23.5953,91.3571
544074,1,538892,19696142,1,4,2,2.35166,-161.322,-23.5953,91.3571
544074,1,541619,19855205,1,4,4,2.35166,-161.322,5.91178,-161.276
544074,1,541619,20128854,1,4,4,2.35166,-161.322,5.91178,-161.276
585212,3,629627,14321356,2,3,1,-25,-111,-29,-13
534034,3,629627,15185356,2,3,1,-25,-111,-29,-13
599441,3,629627,15703756,1,4,3,1,-165,-25,-111
534034,3,629627,15876556,5,4,3,1,-165,-25,-111
534034,3,599441,16999756,5,2,4,-22,91,1,-165
585212,3,599441,17518156,5,2,4,-22,91,1,-165
629627,3,599441,17690956,3,2,4,-22,91,1,-165
542965,3,599441,19073356,1,2,4,-22,91,1,-165
538892,3,599441,20023756,6,2,4,-22,91,1,-165
585212,3,599441,17777356,1,1,2,-29,-13,-22,91
534034,3,599441,17863756,2,1,2,-29,-13,-22,91
568093,3,635665,20110156,1,0,3,33,-41,-25,-111
464459,3,635665,21233356,2,0,3,33,-41,-25,-111
635665,3,464459,22010956,4,3,2,-25,-111,-22,91
635665,3,568093,23738956,6,2,0,-22,91,33,-41
649553,3,643925,25553356,1,4,3,1,-165,-25,-111
570284,3,643925,26503756,4,4,3,1,-165,-25,-111
649553,3,643925,26935756,2,5,4,22,156,1,-165
649553,3,570284,28577356,6,0,5,33,-41,22,156
643925,3,570284,28750156,5,3,0,-25,-111,33,-41
612711,3,570284,30132556,1,1,0,-29,-13,33,-41
598006,3,570284,30478156,3,1,0,-29,-13,33,-41
643411,3,570284,31514956,1,1,0,-29,-13,33,-41
644830,2,585212,13302589,958,,,,,,
644830,2,585212,14314933,213,,,,,,
644830,2,585212,15936004,276,,,,,,
644830,2,585212,16227037,245,,,,,,
644830,2,585212,17764060,213,,,,,,
644830,2,585212,18425192,581,,,,,,
644830,2,585212,20170502,209,,,,,,
